,BARBUNYA,BOMBAY,CALI,DERMASON,HOROZ,SEKER,SIRA
BARBUNYA,247,0,16,0,1,2,5
BOMBAY,0,111,0,0,0,0,0
CALI,13,0,300,0,8,2,2
DERMASON,0,0,0,637,0,13,41
HOROZ,2,0,5,4,381,0,10
SEKER,2,0,0,13,0,395,8
SIRA,0,0,1,47,6,10,455
