,BARBUNYA,BOMBAY,CALI,DERMASON,HOROZ,SEKER,SIRA
BARBUNYA,252,0,14,0,0,2,3
BOMBAY,0,111,0,0,0,0,0
CALI,12,0,303,0,5,2,3
DERMASON,0,0,0,633,0,11,47
HOROZ,1,0,5,4,383,0,9
SEKER,3,0,0,14,0,394,7
SIRA,2,0,1,46,6,5,459
