,BARBUNYA,BOMBAY,CALI,DERMASON,HOROZ,SEKER,SIRA
BARBUNYA,244,0,17,0,0,2,8
BOMBAY,1,110,0,0,0,0,0
CALI,7,0,299,0,5,1,13
DERMASON,1,0,0,619,1,12,58
HOROZ,3,0,4,5,376,0,14
SEKER,9,0,0,7,0,388,14
SIRA,2,0,1,39,5,3,469
