,BARBUNYA,BOMBAY,CALI,DERMASON,HOROZ,SEKER,SIRA
BARBUNYA,250,0,17,0,1,1,2
BOMBAY,0,111,0,0,0,0,0
CALI,9,0,305,0,5,1,5
DERMASON,1,0,0,631,0,16,43
HOROZ,1,0,9,2,383,0,7
SEKER,3,0,0,8,0,396,11
SIRA,1,0,1,48,6,2,461
